nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0001753,P.J. Soles,1950,\N,"actress,soundtrack,producer","tt0083131,tt0074285,tt0077651,tt0079813"
nm0001754,Todd Solondz,1959,\N,"director,writer,actor","tt4144190,tt0808526,tt0114906,tt0147612"
nm0001755,Suzanne Somers,1946,\N,"actress,composer,soundtrack","tt0092449,tt0075596,tt0069704,tt0111127"
nm0001757,Kevin Sorbo,1958,\N,"actor,producer,director","tt0213327,tt1714827,tt0110016,tt5804314"
nm0001758,Timothy Spall,1957,\N,"actor,soundtrack,producer","tt0408236,tt0259711,tt0117589,tt2473794"
nm0001759,Vincent Spano,\N,\N,"actor,director,producer","tt0088960,tt0086216,tt0085208,tt0106246"
nm0001760,Tori Spelling,1973,\N,"actress,producer,music_department","tt0119324,tt0098749,tt0162710,tt0257106"
nm0001761,Jerry Springer,1944,2023,"producer,writer,actor","tt0402127,tt0165494,tt0421054,tt0145660"
nm0001762,Jill St. John,1940,\N,"actress,soundtrack","tt0060801,tt0059390,tt0057683,tt0066995"
nm0001763,Nick Stahl,1979,\N,"actor,producer,assistant_director","tt0181852,tt0107501,tt0401792,tt0247425"
nm0001764,John Stamos,1963,\N,"actor,producer,soundtrack","tt3986586,tt0262994,tt0092359,tt4465368"
nm0001765,Harry Dean Stanton,1926,2017,"actor,soundtrack","tt0087995,tt5859238,tt0120689,tt0078748"
nm0001766,Barbara Stanwyck,1907,1990,"actress,soundtrack","tt0032080,tt0036775,tt0040823,tt0033373"
nm0001767,Imelda Staunton,1956,\N,"actress,soundtrack","tt0383694,tt0138097,tt0373889,tt3169706"
nm0001768,Rod Steiger,1925,2002,"actor,soundtrack","tt0061811,tt0059575,tt0047296,tt0067140"
nm0001769,Howard Stern,1954,\N,"producer,actor,writer","tt0474499,tt2248835,tt0119951,tt0103466"
nm0001770,Fisher Stevens,1963,\N,"actor,producer,director","tt0113243,tt0108255,tt0091949,tt0096101"
nm0001771,Stella Stevens,1938,2023,"actress,soundtrack,director","tt0053245,tt0060980,tt0057372,tt0069113"
nm0001772,Patrick Stewart,1940,\N,"actor,producer,soundtrack","tt3315342,tt0120844,tt0092455,tt0117731"
nm0001773,David Ogden Stiers,1942,2018,"actor,soundtrack,director","tt0068098,tt0101414,tt0275847,tt0114148"
nm0001774,Ben Stiller,1965,\N,"producer,actor,director","tt1608290,tt0196229,tt0942385,tt0359950"
nm0001775,Whit Stillman,1952,\N,"director,writer,actor","tt0120728,tt0109219,tt3068194,tt0100142"
nm0001776,Sting,1951,\N,"music_artist,soundtrack,actor","tt0159365,tt0087182,tt0120917,tt1608290"
nm0001777,Dean Stockwell,1936,2021,"actor,soundtrack,director","tt0087182,tt0095593,tt0096684,tt0087884"
nm0001780,Peter Stormare,1953,\N,"actor,writer,producer","tt0360486,tt0116282,tt0120591,tt0355295"
nm0001781,Julie Strain,1962,2021,"actress,producer,director","tt0110622,tt0109254,tt0116039,tt0119273"
nm0001782,Susan Strasberg,1938,1999,actress,"tt0052961,tt0048491,tt0055505,tt0076636"
nm0001783,Sally Struthers,1947,\N,"actress,soundtrack,music_department","tt0066626,tt0068638,tt0238784,tt0065724"
nm0001784,Gloria Stuart,1910,2010,"actress,soundtrack","tt0120338,tt0023293,tt0024184,tt0030657"
nm0001785,Kristy Swanson,1969,\N,"actress,producer,soundtrack","tt0091042,tt0103893,tt0242423,tt0093036"
nm0001786,George Takei,1937,\N,"actor,miscellaneous,soundtrack","tt0084726,tt0088170,tt0060028,tt0102975"
nm0001787,Jeffrey Tambor,1944,\N,"actor,soundtrack","tt1092026,tt0367279,tt3502262,tt0167190"
nm0001788,Jessica Tandy,1909,1994,"actress,soundtrack","tt0056869,tt0092494,tt0097239,tt0101921"
nm0001790,Sharon Tate,1943,1969,"actress,soundtrack","tt0061655,tt0061634,tt0065225,tt0062430"
nm0001791,Robert Taylor,1911,1969,"actor,soundtrack,director","tt0033238,tt0043949,tt0033774,tt0041207"
nm0001792,Rod Taylor,1930,2015,"actor,music_department,soundtrack","tt0054387,tt0055254,tt0056869,tt0361748"
nm0001793,Heather Thomas,1957,\N,actress,"tt0081859,tt0084945,tt0092812,tt1555440"
nm0001794,Henry Thomas,1971,\N,"actor,producer,soundtrack","tt0110322,tt0217505,tt0331811,tt0083866"
nm0001795,Jonathan Taylor Thomas,1981,\N,"actor,director,soundtrack","tt0110357,tt0112302,tt0101120,tt0115472"
nm0001796,Richard Thomas,1951,\N,"actor,director,producer","tt0068149,tt0185014,tt0080421,tt0099864"
nm0001797,Rachel Ticotin,1958,\N,"actress,miscellaneous","tt0100802,tt0118880,tt0328107,tt0106856"
nm0001798,Kevin Tighe,1944,\N,"actor,director,stunts","tt0097637,tt0068067,tt1179891,tt0099044"
nm0001800,Rip Torn,1931,2019,"actor,soundtrack,director","tt0240515,tt0119654,tt0107978,tt0103466"
nm0001801,Robert Towne,1934,\N,"writer,producer,actor","tt0070290,tt0096244,tt0071315,tt0117060"
nm0001802,Nancy Travis,1961,\N,"actress,soundtrack,producer","tt0108174,tt0098966,tt0108473,tt0866437"
nm0001803,Danny Trejo,1944,\N,"actor,producer,soundtrack","tt0116367,tt1424381,tt0985694,tt2002718"
nm0001804,Stanley Tucci,1960,\N,"actor,producer,soundtrack","tt1135503,tt0380510,tt0115678,tt1895587"
nm0001805,Lana Turner,1921,1995,"actress,soundtrack,producer","tt0050839,tt0071988,tt0060645,tt0038854"
nm0001806,John Turturro,1957,\N,"actor,writer,producer","tt0190590,tt2258345,tt0110932,tt0101410"
nm0001807,Cicely Tyson,1924,2021,"actress,soundtrack,producer","tt0069303,tt0101921,tt1454029,tt0422093"
nm0001808,Tracey Ullman,1959,\N,"actress,writer,producer","tt0092469,tt2180411,tt0196216,tt0109348"
nm0001809,Jay Underwood,1968,\N,actor,"tt0185155,tt0098554,tt0093649,tt0090768"
nm0001810,Robert Urich,1946,2002,"actor,producer,soundtrack","tt0087451,tt0070355,tt0077093,tt0096639"
nm0001811,Peter Ustinov,1921,2004,"actor,writer,director","tt0077413,tt0054331,tt0055796,tt0074812"
nm0001812,Lee Van Cleef,1925,1989,"actor,soundtrack","tt0060196,tt0082340,tt0059578,tt0056217"
nm0001813,Dick Van Dyke,1925,\N,"actor,producer,soundtrack","tt0054533,tt0062803,tt0058331,tt5028340"
nm0001814,Gus Van Sant,1952,\N,"director,producer,actor","tt0842929,tt0102494,tt0097240,tt0363589"
nm0001815,Jim Varney,1949,2000,"actor,writer,soundtrack","tt0095107,tt0230011,tt0092974,tt0114709"
nm0001816,Robert Vaughn,1932,2016,"actor,director","tt0054047,tt0062765,tt0072308,tt0086393"
nm0001817,Reginald VelJohnson,1952,\N,"actor,writer,soundtrack","tt0096579,tt0087332,tt0095016,tt0099423"
nm0001818,Jesse Ventura,1951,\N,"actor,producer,soundtrack","tt0093773,tt0118688,tt0093894,tt0106697"
nm0001819,Petra Verkaik,1966,\N,"actress,producer,miscellaneous","tt0102733,tt0106323,tt0127643,tt0212879"
nm0001820,Abe Vigoda,1921,2016,actor,"tt0072472,tt0071562,tt0068646,tt0119215"
nm0001821,Jan-Michael Vincent,1944,2019,"actor,producer,soundtrack","tt0072705,tt0075393,tt0118789,tt0068931"
nm0001822,Robert Wagner,1930,\N,"actor,producer,soundtrack","tt0118655,tt0295178,tt0106770,tt0072308"
nm0001823,Tom Waits,1949,\N,"music_artist,soundtrack,actor","tt1931533,tt0090967,tt6412452,tt0108122"
nm0001824,Ally Walker,1961,\N,"actress,writer,producer","tt0114924,tt0105698,tt0116756,tt0115322"
nm0001825,Andrew Kevin Walker,1964,\N,"writer,actor,producer","tt9561862,tt1136617,tt0114369,tt0162661"
nm0001826,M. Emmet Walsh,1935,\N,"actor,soundtrack,stunts","tt0079367,tt0086979,tt0119738,tt0083658"
nm0001827,Ray Walston,1914,2001,"actor,soundtrack","tt0070735,tt0064782,tt0081353,tt0083929"
nm0001828,Melora Walters,1960,\N,"actress,director,writer","tt0118749,tt0289879,tt0175880,tt0097165"
nm0001829,Rachel Ward,1957,\N,"actress,director,writer","tt0086859,tt0083064,tt0085101,tt0083798"
nm0001830,Sophie Ward,1964,\N,"actress,soundtrack","tt0090357,tt1229822,tt1169809,tt0104181"
nm0001831,David Warner,1941,2022,"actor,soundtrack,producer","tt0084827,tt0102975,tt0113409,tt0120338"
nm0001832,Sam Waterston,1940,\N,"actor,producer,director","tt0087553,tt0098844,tt0071577,tt0111127"
nm0001833,Emily Watson,1967,\N,"actress,producer,soundtrack","tt0272338,tt0280707,tt0289765,tt0115751"
nm0001834,Damon Wayans,1960,\N,"actor,writer,producer","tt0110443,tt0104897,tt0273855,tt0102266"
nm0001835,Carl Weathers,1948,\N,"actor,director,soundtrack","tt0093773,tt0075148,tt0089927,tt0116483"
nm0001836,Steven Weber,1961,\N,"actor,producer,soundtrack","tt0093137,tt0105414,tt0112896,tt0118460"
nm0001838,Rachel Weisz,1970,\N,"actress,producer,soundtrack","tt0120616,tt3464902,tt0414993,tt0387131"
nm0001839,Tuesday Weld,1943,\N,"actress,soundtrack","tt0087843,tt0069098,tt0106856,tt0083190"
nm0001840,Ming-Na Wen,1963,\N,"actress,soundtrack","tt2364582,tt0111301,tt0120762,tt0173840"
nm0001841,George Wendt,1948,\N,"actor,soundtrack,director","tt0104291,tt0120185,tt0083399,tt0089155"
nm0001842,Adam West,1928,2017,"actor,soundtrack,director","tt0060153,tt0157503,tt0371606,tt0059968"
nm0001844,Frank Whaley,1963,\N,"actor,director,writer","tt0115759,tt0110912,tt0452702,tt0101761"
nm0001845,Forest Whitaker,1961,\N,"actor,producer,director","tt1327773,tt0455590,tt0185183,tt1825683"
nm0001846,Vanna White,1957,\N,"actress,producer","tt0095230,tt0072584,tt0110622,tt0106761"
nm0001847,Richard Widmark,1914,2008,"actor,producer,soundtrack","tt0071877,tt0053580,tt0039536,tt0055031"
nm0001848,Dianne Wiest,1946,\N,"actress,soundtrack","tt0091167,tt0099487,tt0109348,tt0115685"
nm0001849,Kathleen Wilhoite,1964,\N,"actress,soundtrack,music_department","tt0091575,tt0106912,tt0098206,tt0119051"
nm0001850,Billy Dee Williams,1937,\N,"actor,soundtrack,writer","tt2527338,tt0086190,tt4116284,tt0080684"
nm0001851,JoBeth Williams,1948,\N,"actress,producer,soundtrack","tt0085244,tt0091778,tt0079417,tt0084516"
nm0001852,Treat Williams,1951,2023,"actor,soundtrack,director","tt0079261,tt0118956,tt0117331,tt0114660"
nm0001853,Vanessa Williams,1963,\N,"actress,soundtrack,producer","tt0162650,tt0410975,tt0116213,tt0805669"
nm0001854,Rita Wilson,1956,\N,"actress,soundtrack,producer","tt0116705,tt0114011,tt0163187,tt0108160"
nm0001855,Tom Wilson,1959,\N,"actor,writer,soundtrack","tt0099088,tt0088763,tt0096874,tt2404463"
nm0001856,Oprah Winfrey,1954,\N,"producer,actress,miscellaneous","tt0090493,tt1327773,tt1620680,tt0088939"
nm0001857,Henry Winkler,1945,\N,"actor,producer,writer","tt0084412,tt0389860,tt0367279,tt0120484"
nm0001858,Mare Winningham,1959,\N,"actress,soundtrack","tt0098536,tt0090060,tt0097889,tt2431286"
nm0001859,Shelley Winters,1920,2006,"actress,soundtrack,producer","tt0048424,tt0056193,tt0059573,tt0069113"
nm0001860,Alicia Witt,1975,\N,"actress,soundtrack,music_department","tt0146336,tt0313737,tt0087182,tt0411061"
nm0001861,Katarina Witt,1965,\N,"actress,producer,soundtrack","tt0116695,tt0112937,tt0122690,tt0243164"
nm0001862,Mary Woronov,1943,\N,"actress,writer,director","tt0079813,tt0087799,tt0083869,tt0072856"
nm0001863,Kari Wuhrer,1967,\N,"actress,producer,soundtrack","tt0117894,tt0271367,tt0306735,tt0118615"
nm0001864,Noah Wyle,1971,\N,"actor,producer,director","tt0104257,tt1146438,tt0246578,tt0108757"
nm0001865,Amy Yasbeck,1962,\N,actress,"tt0100405,tt0107977,tt0110475,tt0100419"
nm0001866,Bolo Yeung,1946,\N,"actor,stunts,director","tt0101764,tt0092675,tt0070034,tt0164441"
nm0001867,Amy Yip,1965,\N,actress,"tt0105845,tt0102562,tt0101490,tt0102737"
nm0001868,Michael York,1942,\N,"actor,soundtrack,producer","tt0063518,tt0068327,tt0145660,tt0074812"
nm0001869,Tina Yothers,1973,\N,"actress,soundtrack","tt0089125,tt0195301,tt0083413,tt0084675"
nm0001870,Robert Young,1907,1998,"actor,soundtrack,producer","tt0063927,tt0034923,tt0033686,tt0046600"
nm0001871,Pia Zadora,1954,\N,"actress,soundtrack","tt0096402,tt0085863,tt0095270,tt0082122"
nm0001872,Steve Zahn,1967,\N,"actor,soundtrack,producer","tt0318649,tt3450958,tt0206314,tt0462504"
nm0001875,Anthony Zerbe,1936,\N,actor,"tt0234215,tt0067525,tt0061512,tt0097742"
nm0001876,Catherine Zeta-Jones,1969,\N,"actress,soundtrack","tt0137494,tt0181865,tt0120746,tt0299658"
nm0001879,Daphne Zuniga,1962,\N,"actress,producer,soundtrack","tt0103491,tt0368530,tt0094012"
nm0001881,Maryam d'Abo,1960,\N,"actress,producer,director","tt10022782,tt0340477,tt1235124,tt0093428"
nm0001882,Olivia d'Abo,1969,\N,"actress,soundtrack,music_department","tt0087078,tt0107843,tt2527338,tt2027128"
nm0001883,Jenna von OÃ¿,1977,\N,"actress,writer,producer","tt0096969,tt0113198,tt0101050,tt0200353"
nm0001884,Max von Sydow,1929,2020,"actor,miscellaneous,soundtrack","tt0181689,tt0080745,tt0477302,tt0050976"
nm0001886,Howard Ross,1941,\N,actor,"tt0061218,tt0060590,tt0070023,tt0059672"
nm0001888,Robert Douglas,1909,1999,"director,actor,producer","tt0044760,tt0041386,tt0040076,tt0053335"
nm0001889,Charles Hawtrey,1914,1988,"actor,soundtrack,director","tt0060214,tt0062782,tt0057918,tt0060330"
nm0001890,Hugh Herbert,1884,1952,"actor,soundtrack,writer","tt0035427,tt0020953,tt0033397,tt0029541"
nm0001891,Anthony Higgins,1947,\N,"actor,soundtrack","tt0082971,tt0090357,tt0083851,tt0088851"
nm0001893,John Archer,1915,1999,actor,"tt0054692,tt0042041,tt0033787,tt0042393"
nm0001894,Danny Dayton,1923,1999,"actor,director,soundtrack","tt0074074,tt0060013,tt0048140,tt0109707"
nm0001895,Glenn Miller,1904,1944,"soundtrack,music_department,actor","tt0100935,tt0117218,tt4255304,tt0094737"
nm0001896,John W. Brown,1882,1949,"cinematographer,assistant_director,actor","tt0007068,tt0005939,tt0012709,tt0014260"
nm0001898,Bryan Adams,1959,\N,"music_artist,soundtrack,actor","tt0406816,tt0166813,tt0108333,tt0102798"
nm0001900,Danny Aiello III,1957,2010,"stunts,assistant_director,actor","tt0822854,tt0368008,tt0087781,tt0338013"
nm0001901,Chantal Akerman,1950,2015,"director,writer,actress","tt0118018,tt0078152,tt0071690,tt0073198"
nm0001902,Edward Albert,1951,2006,"actor,soundtrack,miscellaneous","tt0082431,tt0068326,tt0074899,tt0493406"
nm0001903,Norma Aleandro,1936,\N,"actress,writer","tt0117684,tt0346765,tt0292542,tt0089276"
nm0001904,Corey Allen,1934,2010,"director,actor,writer","tt0092455,tt0081873,tt0068135,tt0048545"
nm0001906,Kirk Alyn,1910,1999,actor,"tt0042873,tt0044427,tt0038456,tt0040852"
nm0001908,Gilbert M. 'Broncho Billy' Anderson,1880,1971,"director,actor,producer","tt0003719,tt0183803,tt0001706,tt0176832"
nm0001909,BjÃ¶rn AndrÃ©sen,1955,\N,"actor,soundtrack","tt0067445,tt4600502,tt8772262,tt0465689"
nm0001911,Philip Anglim,1952,\N,actor,"tt0085101,tt0095280,tt0106145,tt0166593"
nm0001912,Paul Anka,1941,\N,"soundtrack,actor,composer","tt0427969,tt0073195,tt0093640,tt0056197"
nm0001913,Little Oral Annie,1960,\N,actress,"tt0167999,tt0196982,tt0124514,tt0086501"
nm0001914,Adam Ant,1954,\N,"soundtrack,actor,composer","tt0133189,tt0425112,tt0478970,tt0483607"
nm0001916,Arletty,1898,1992,"actress,soundtrack","tt0030252,tt0035521,tt0037674,tt0056197"
nm0001917,Pedro ArmendÃ¡riz Jr.,1940,2011,"actor,producer,soundtrack","tt0285823,tt0097742,tt0236493,tt0120746"
nm0001918,Louis Armstrong,1901,1971,"music_artist,soundtrack,actor","tt0049314,tt0087995,tt0039655,tt2382320"
nm0001919,Peggy Ashcroft,1907,1991,actress,"tt0087892,tt0067805,tt0026029,tt0080212"
nm0001922,Jean-Pierre Aumont,1911,2001,"actor,writer,soundtrack","tt0064137,tt0046000,tt0070460,tt0228319"
nm0001923,Margaret Avery,1944,\N,"actress,soundtrack,producer","tt2345481,tt0088939,tt0094770,tt0070355"
nm0001924,Hoyt Axton,1938,1999,"soundtrack,actor,music_department","tt0104187,tt0087363,tt0085244,tt0109830"
nm0001926,Joan Baez,1941,\N,"soundtrack,music_department,actress","tt1127896,tt0362270,tt5027774,tt0067756"
nm0001927,Josephine Baker,1906,1975,"soundtrack,actress,music_department","tt0401445,tt0135652,tt0026023,tt0026891"
nm0001929,Josiane Balasko,1950,\N,"actress,writer,director","tt1091992,tt1442519,tt0074811,tt0113149"
nm0001930,Russell Banks,1940,2023,"writer,producer,actor","tt2150507,tt0120255,tt0118564,tt3750408"
nm0001931,Binnie Barnes,1903,1998,"actress,soundtrack,producer","tt0024473,tt0038108,tt0039037,tt0028373"
nm0001932,Richard Barthelmess,1895,1963,"actor,soundtrack,producer","tt0018253,tt0013892,tt0031762,tt0022054"
nm0001933,Geoffrey Bayldon,1924,2017,actor,"tt0056751,tt0061452,tt0051994,tt0063881"
nm0001934,Kabir Bedi,1946,\N,"actor,writer,miscellaneous","tt4535650,tt5832544,tt0086034,tt0074050"
nm0001935,Noah Beery,1882,1946,"actor,soundtrack","tt0021404,tt0027646,tt0011439,tt0024548"
nm0001936,Roxanne Blaze,1974,\N,actress,"tt0128759,tt0112466,tt0106366,tt0104579"
nm0001938,Richard Belzer,1944,2023,"actor,writer,producer","tt0106028,tt0120841,tt0203259,tt0086250"
nm0001939,Maurice Benard,1963,\N,"actor,soundtrack","tt0056758,tt0065272,tt0107566,tt2446980"
nm0001940,Peter Benchley,1940,2006,"writer,producer,actor","tt0093300,tt0085750,tt0073195,tt0077766"
nm0001941,Iris Berben,1950,\N,"actress,soundtrack","tt1320320,tt7322224,tt0806904,tt1083452"
nm0001942,Luca Bercovici,\N,\N,"producer,actor,writer","tt0094884,tt0089200,tt1564777,tt3148266"
nm0001943,Marisa Berenson,1947,\N,"actress,soundtrack","tt5943392,tt1130984,tt0072684,tt0068327"
nm0001944,Edgar Bergen,1903,1978,"actor,soundtrack,writer","tt0039404,tt0079588,tt0030359,tt0037297"
nm0001945,Claude Berri,1934,2009,"producer,actor,writer","tt0107002,tt0063771,tt0091288,tt0792965"
nm0001947,Turhan Bey,1922,2012,"actor,producer","tt0035096,tt0040829,tt0035611,tt0038778"
nm0001948,Charles Bickford,1891,1967,"actor,soundtrack","tt0039370,tt0036377,tt0039224,tt0047522"
nm0001950,Steve Bisley,1951,\N,actor,"tt1343092,tt0099138,tt0079501,tt0115417"
nm0001952,RubÃ©n Blades,1948,\N,"actor,soundtrack,composer","tt2193215,tt0109456,tt0285823,tt1599348"
nm0001953,Moritz Bleibtreu,1971,\N,"actor,producer,director","tt0177858,tt0130827,tt0119472,tt0250258"
nm0001954,Claire Bloom,1931,\N,actress,"tt0057129,tt0082186,tt1504320,tt0044837"
nm0001955,Ann Blyth,1928,\N,"actress,soundtrack","tt0039224,tt0037913,tt0050494,tt0048260"
nm0001956,John Wayne Bobbitt,1967,\N,actor,"tt0123610,tt0140058,tt13634472,tt0122561"
nm0001957,Lloyd Bochner,1924,2005,actor,"tt0062138,tt0085863,tt0057015,tt0102510"
nm0001958,Dirk Bogarde,1921,1999,"actor,writer,soundtrack","tt0057490,tt0059084,tt0067445,tt0075784"
nm0001959,Corinne Bohrer,1958,\N,actress,"tt0212815,tt0098798,tt0412253,tt0093756"
nm0001960,Romane Bohringer,1973,\N,"actress,director,writer","tt0114702,tt8792898,tt0115561,tt0105032"
nm0001961,Ray Bolger,1904,1987,"actor,soundtrack","tt0054649,tt0032138,tt0045325,tt0044370"
nm0001963,Jesse Borrego,1962,\N,"actor,soundtrack,producer","tt0083412,tt0106469,tt0118880,tt1657507"
nm0001965,Ã‰lodie Bouchez,1973,\N,"actress,soundtrack,producer","tt0254199,tt0120449,tt0111019,tt0348876"
nm0001966,Clara Bow,1905,1965,"actress,soundtrack,music_department","tt0022737,tt0018578,tt0018033,tt0020590"
nm0001967,Peter Boyle,1935,2006,"actor,soundtrack","tt0072431,tt0115167,tt0075314,tt0095963"
nm0001968,Elizabeth Bracco,1957,\N,"actress,costume_designer,soundtrack","tt0090863,tt0094025,tt0097940,tt0122933"
nm0001969,Ray Bradbury,1920,2012,"writer,producer,actor","tt0088591,tt0060390,tt0049513,tt0064473"
nm0001970,Klaus Maria Brandauer,1943,\N,"actor,director,soundtrack","tt0082736,tt0086006,tt0089755,tt0097417"
nm0001971,Ewen Bremner,1972,\N,"actor,producer,soundtrack","tt0451279,tt0117951,tt0370263,tt2763304"
nm0001972,Richard Briers,1934,2013,"actor,soundtrack","tt0316396,tt0078480,tt0075511,tt0107616"
nm0001973,Christie Brinkley,1954,\N,"actress,soundtrack","tt0810913,tt1266020,tt0120434,tt0085995"
nm0001974,Blair Brown,1946,\N,"actress,soundtrack,director","tt0080360,tt0092336,tt0186566,tt0138304"
nm0001975,Roscoe Lee Browne,1922,2007,"actor,soundtrack","tt0068421,tt0133240,tt0074812,tt0095776"
nm0001976,Horst Buchholz,1933,2003,"actor,miscellaneous","tt0054047,tt0118799,tt0055256,tt0054866"
nm0001977,Charles Bukowski,1920,1994,"writer,soundtrack,actor","tt26657933,tt0092618,tt0417658,tt17075398"
nm0001978,Emma Bunton,1976,\N,"soundtrack,actress","tt1489889,tt8106534,tt0981227,tt0120185"
nm0001979,Tom Burlinson,1956,\N,"actor,music_department,soundtrack","tt0084296,tt0157239,tt0094152,tt0089153"
nm0001981,Spring Byington,1886,1971,"actress,soundtrack,miscellaneous","tt0035979,tt0038492,tt0030993,tt0042687"
nm0001982,Sebastian Cabot,1918,1977,"actor,soundtrack","tt0059982,tt0057546,tt0061852,tt0054387"
nm0001983,Rory Calhoun,1922,1999,"actor,producer,writer","tt0105191,tt0039133,tt0045891,tt0081184"
nm0001984,Naomi Campbell,1970,\N,"actress,producer,soundtrack","tt1844624,tt1608290,tt6791096,tt0114682"
nm0001985,Christy Canyon,1966,\N,"actress,miscellaneous","tt0160373,tt0160153,tt0160670,tt0161026"
nm0001986,Truman Capote,1924,1984,"writer,actor,soundtrack","tt0061809,tt0054698,tt0074937,tt0055018"
nm0001987,Tantoo Cardinal,1950,\N,"actress,director,producer","tt5362988,tt0099348,tt0110322,tt1646225"
nm0001988,Marc Caro,1956,\N,"director,writer,actor","tt0101700,tt0112682,tt0118583,tt0487928"
nm0001989,Leslie Caron,1931,\N,"actress,soundtrack,miscellaneous","tt0051658,tt0043278,tt0241303,tt0046000"
nm0001990,Elpidia Carrillo,1961,\N,"actress,producer,director","tt0093773,tt0420015,tt0100403,tt0091886"
nm0001991,Leo G. Carroll,1886,1972,actor,"tt0044079,tt0038109,tt0053125,tt0057765"
nm0001992,Johnny Carson,1925,2005,"soundtrack,actor,writer","tt0260758,tt0116282,tt0055708,tt0059398"
nm0001993,Vincent Cassel,1966,\N,"actor,producer,soundtrack","tt0411272,tt0113247,tt0947798,tt1259014"
nm0001994,Michael Caton-Jones,1957,\N,"director,producer,actor","tt0269095,tt0119395,tt0430912,tt0100133"
nm0001995,George Chakiris,1932,\N,"actor,soundtrack,miscellaneous","tt0064088,tt0055614,tt0062873,tt9815554"
nm0001996,Jeff Chandler,1918,1961,"actor,soundtrack,producer","tt0045343,tt0050680,tt0042286,tt0048064"
nm0001997,Patricia Charbonneau,1959,\N,"actress,producer,soundtrack","tt0089015,tt0091474,tt0899128,tt0160862"
nm0001998,Cyd Charisse,1922,2008,"actress,soundtrack","tt0050972,tt0045537,tt0048216,tt0049490"
nm0001999,Maury Chaykin,1949,2010,"actor,miscellaneous,assistant_director","tt0119715,tt0086567,tt0099348,tt0104952"
nm0002000,Leslie Cheung,1956,2003,"actor,music_department,soundtrack","tt0093978,tt0118845,tt0101258,tt0106332"
nm0002001,Maurice Chevalier,1888,1972,"soundtrack,actor,writer","tt0050658,tt0051658,tt0025493,tt0023303"
nm0002002,Shin'ichi Chiba,1939,2021,"actor,stunts,miscellaneous","tt0378194,tt0463985,tt0078513,tt0266697"
nm0002003,David Chokachi,1968,\N,"actor,producer","tt0448950,tt1596346,tt0096542,tt5935694"
nm0002004,Sarita Choudhury,1966,\N,"actress,producer","tt0452637,tt1951266,tt0120787,tt2980210"
nm0002006,Thomas Haden Church,1960,\N,"actor,miscellaneous,producer","tt0375063,tt0413300,tt10872600,tt1282140"
nm0002007,Tom Clancy,1947,2013,"writer,producer,actor","tt0099810,tt0105112,tt0109444,tt0164184"
nm0002009,Arthur C. Clarke,1917,2008,"writer,actor,art_department","tt0062622,tt0134933,tt0086837,tt0043238"
nm0002010,Christian Clavier,1952,\N,"actor,writer,producer","tt0189192,tt0133385,tt0108500,tt0250223"
nm0002011,Lee J. Cobb,1911,1976,"actor,director,soundtrack","tt0059557,tt0053804,tt0050083,tt0047296"
nm0002012,Randall 'Tex' Cobb,1950,\N,actor,"tt0093822,tt0086508,tt0109040,tt0110622"
nm0002013,Charles Coburn,1877,1961,"actor,soundtrack","tt0033804,tt0044916,tt0036172,tt0045810"
nm0002014,Iron Eyes Cody,1907,1999,"actor,miscellaneous,costume_department","tt0077630,tt0047501,tt0092974,tt0065570"
nm0002015,Phil Collins,1951,\N,"music_artist,soundtrack,actor","tt0120855,tt0328880,tt0086759,tt0094819"
nm0002016,William Conrad,1920,1994,"actor,director,producer","tt0102070,tt0066636,tt0047264,tt0038669"
nm0002017,Richard Conte,1910,1975,"actor,soundtrack,director","tt0038235,tt0068646,tt0041958,tt0047878"
nm0002018,Tom Conti,1941,\N,"actor,soundtrack,miscellaneous","tt0398017,tt0085933,tt15398776,tt0084591"
nm0002019,Kevin Corcoran,1949,2015,"assistant_director,actor,producer","tt0054195,tt0054390,tt0050798,tt0054357"
nm0002021,NoÃ«l Coward,1899,1973,"writer,soundtrack,actor","tt0037558,tt0064505,tt0034891,tt0048960"
nm0002022,Jeanne Crain,1925,2003,"actress,soundtrack","tt0041587,tt0040104,tt0038116,tt0041746"
nm0002023,Matt Craven,1956,\N,"actor,producer","tt0099871,tt1270798,tt0112740,tt0104257"
nm0002024,Broderick Crawford,1911,1986,"actor,producer,soundtrack","tt0041113,tt0043812,tt0042276,tt0034965"
nm0002025,Hume Cronyn,1911,2003,"actor,producer,writer","tt0092494,tt0036342,tt0088850,tt0088933"
nm0002026,Mary Crosby,1959,\N,"actress,soundtrack","tt0087451,tt0077000,tt0106145,tt0386140"
nm0002027,Ben Cross,1947,2020,"actor,producer","tt0113071,tt0760188,tt0082158,tt0796366"
nm0002028,Sheryl Crow,1962,\N,"music_artist,soundtrack,actress","tt0272152,tt0117333,tt2719848,tt0120347"
nm0002029,Maria Grazia Cucinotta,1968,\N,"actress,producer,director","tt0110877,tt0143145,tt0118782,tt1161864"
nm0002031,Michael Curtiz,1886,1962,"director,writer,actor","tt0037913,tt0034583,tt0026174,tt0029843"
nm0002032,Roger Daltrey,1944,\N,"music_artist,actor,soundtrack","tt0073812,tt0093936,tt0093437,tt0073298"
nm0002033,Tyne Daly,1946,\N,"actress,soundtrack,writer","tt2250912,tt0083395,tt0074483,tt0209069"
nm0002034,Jane Darwell,1879,1967,actress,"tt0036244,tt0032551,tt0058331,tt0031381"
